text,label
2 days on.......never a fucking pen!!!! #nffc,0
Watch this amazing live.ly broadcast by @user #lively #musically,1
So about 18mths ago i signed up to @user for their @user / Velocity FF deal. 18 months in still no FF points #shocking,0
"Really planned on making videos this week. Then. A tv died, phone broke, truck died, #depression took over. I'm wondering what I did 2 karma",3
Sorry to burst your bubble but it isn't that century anymore. Welcome to the 21st century.,2
Dates in the glove box' is pure panic excuse #GBBO,3
"@user : It's not Fox News, it's Fox Propaganda Network, they're so lost in their lies, that they can't tell the truth, if it hit them in face",0
@user #mhchat Childhood experiences inform adult relationships. We have associative memories Not a question of ability to process #sadness,3
I wish there were unlimited glee episodes:( so I could watch them forever. #gleegoodbye,1
@user Both Trump + King are relentless self-promoters who don't give a rip about anyone else. A perfect match for both Donalds.,0
@user  is like the big bully in class ruining everyone's lunch but instead of taking our lunch money they took away family feud #bully,0
It's been 5 weeks and I still go through depression smh,3
Never make a #decision when you're #angry and never make a #promise when you're . #wisewords,2
"@user @user experience all plays a role in that, it's education and preparedness not fear",2
"@user Betelgeuse/Sloth was lively, dedicated and tenacious, Regulus/Greed is humbly content and Ley/Gluttony is starving hungry.",3
@user Glad you gained some cheery vibes just by looking at our Happy Meal! 😊,1
"Avoiding #fears only makes them scarier. Whatever your #fear, if you face it, it should start to fade. #courage",2
"@user both are nonsensical. If there's injustice against blacks, why add to it by destroying black property. It's misdirected anger",0
@user i would just get some decent referees #shocking,0
☊Focusing primarily on the person you’re talking to rather than yourself and the impression you’re making lessens social anxiety.,2
Confiaejce comes not from always being right but from not fearing to be wrong.-Peter T. Mcintyre,2
"In addition to fiction, wish me luck on my research paper this semester. 15-20 pages, oh boy.",2
You ever just find that the people around you really irritate you sometimes? That's me right now 😒,0
"BibleMotivate: Are you worrying/worried?\n1Peter 5:7\nThrow all your worry on him, because he cares for you.#faith #leadership #worry #mindfu…",2
Ill say it again. If I was a Black man Id be afraid to leave my house or have a moving violation.\n\n#TerranceCrutcher #truth #sad,3
@user looking forward to div 2 next year @user  #leictershireaway #therey,1
@user @user @user Trump says the refugee situation 'is not just about terrorism it's about quality of life.' Take note.,0
"@user Maybe that's why, we're asked to study hard and get a job that we like. That way it wouldn't be that dreadful.",2
Boys of Fall makes me miss cheering on Friday nights much sooooo bad #bulldogslways🐾,3
🍂🎵☀\n#fall sounds great !\ndream #blues #rock by @user the top album  'One Love'  by hero @user :D,1
"People will talk, words will sting, but how you handle that is what differs you from them. Be like them or change the culture?#BeDifferent",2
A decent sleep makes Kurt a happy soldier. Spit &amp; polish the converse men. chests out and baseball caps at a jaunty angle.,1
"@user though lately with how bad my depression has been i feel like my body is like just, taking what little it can get",3
| At home sick... 🎼The blues🎼 won't cure it so I need ideas 🎸😭 | #sorethroat #sick #blues #music #fallweather #carletonuniversity #ottawa,3
And here we go again 😓,3
Michael Carrick should start every game for United and England,2
Being forced into a fake hug by someone who didn’t flinch to get litigious with you in the past - #awful 😖👺🙅,0
"Leeds surely to drop the prices for that cup tie, rather than the dismal attendance last night..",2
last nigt i dreamt \nthat somebody loved me\nno hope no harm\njust another false alarm,1
@user data stolen in 2014 and only now do you tell us #shocking.,0
Fuking fuming 😤,0
"I start work tmrw yall, i'm nervous lol",1
don't provoke me after letting me down !,0
Sometimes I get mad over something so minuscule I try to ruin somebodies life not like lose your job like get you into federal prison #anger,0
@user  #CureForInsomnia And the left said WE were all doom &amp; gloom. The Trump Train is so much more fun!,1
All the 'juniors' are now wearing purple at ollafest while I'm here fighting with my alarm about when I need to wake up for German #sadness,3
@user @user Start mournful then kick into major key in last verse where good guys win? (Or just change words in existing song?),3
Riggs dumb ass hell lolol #hilarious #LethalWeapon,1
"Two blankets, a hoody, and still no Eternal Sunshine to mope to.",3
@user I'm so serious DM me I'll tell u more,2
@user the tunnels! I shudder to think of the grimy tweets...,3
Don't get discouraged when simple minds don't see your vision,2
Angry shouting match between a #pessimist &amp; an #optimist:\n'You're a half empty-headed @user \n'You're half full of @user,0
Being playful as shit😤,0
a #monster is only a #monster if you view him through #fear,2
@user @user what I miss?,3
May the optimism of tomorrow be your foundation for today.,2
Rockin to  Bob Dylan singin'  Bob Dylan's 115th Dream on LPCO Klassic Rock #classicrock #klassicrock #rocknroll #blues #onlineradio,1
@user bts' 화양연화 trilogy MV is my all time fav🙌 quite gloomy but beautiful as well✨,1
Spurs radio commentator referred to Mauricio Pochettino as 'MoPo' and I felt a sudden surge of rage.,0
"@user sadly, at least 3 more years of this. At what point will even the low info selfie lovers who voted for them say enough is enough",3
Why are people even debating on race inequality within our justice system like it's non existent? They're just trying to aggravate us.,0
I'm excited for the #FirstDayofFall &amp; the rest of the season. I have 2 #Halloween #scare events I'm covering for @user in the next week,1
@user AND his momma was worse than Tony sopranos momma #wow #sad #history #major,3
Living life so relentless,3
@user @user @user @user Might be the pout of a star baker tho !,1
we shiver in the pause between words \nabandonment still fresh upon the tips of our tongues,2
The most depressing part of being ill is that your taste goes 😫,3
So far ours greet have raised £250 for @user with more to come in #sparkling @user @user,1
@user &lt;• change them himself. He follows behind with a scowl pinching his lips and takes the sheets to his room. 'So who is •&gt;,2
Where are some great places to listen to blues? #nightlife #NightLifeENT #blues #jazz #gatewayarch #stlouis #washingtonave,1
@user @user #NHLNYCSWEEPSTAKES having fun watching team North America and cheering team Canada!,1
Ryan Gosling and Eva Mendes finally  ; B joyful an funny/dont boss/dont argue/do everything with kids/go on mini car trips/ focus on love,1
@user looks that way. But let's think about Rohan last week ... #optimism,2
Dear Indians..It is hard to swallow this but for once try to swallow this bitter pill...that is.. Pakistan is number one in Test cricket!!!,2
Ask yourself every day: \nam I ruled by fear and hatred \nor am I ruled by love and the sacred?,2
@user this sad truth!,3
"@user unless your concern is people figuring out who you are for wtvr reason, I don't see why you shouldn't tweet about other things",0
@user love new movie\n#BlairWitch #blairwitchproject #horror #HorrorMovies,1
"every day i have to think in my mind will this be pleasing to God. my decision making, the way i react, treat ppl, speak, am i pleasing God.",2
@user cheer up☺️,1
Thinking about trying some comedy on youtube. Always been fond of it. Time to nut up.  #comedy #maybeoneday #hopefullyfunny #LOL,1
Love is when all your happiness and all your sadness and all your feelings are dependent on another person.,2
Ive always wondered how long Angelina put up with Brad's crap. Not gon lie 😐,0
You forever straight so fix that frown u good😇 @user,1
"@user awe, I love you kid!!",1
@user @user @user I was under the impression that stop and frisk was a concern to many in NYC. Didn't deBlasio rein it in?,3
@user Sam- yes we have! Not helpful at all! We need this sorting ASAP! You keep promising stuff that doesn't happen!!!! #fuming,0
Last night I had a dream that today was Christmas. I woke up screaming because I wasn't ready.,3
@user I know if I wasn't an optimist I would despair.,2
"@user oh ok, yeah I felt dumb like I think I would have known if it was animated at least lmao",1
if you're unhappy with someone just fucking tell them you're unhappy and leave. Don't go fuckin around with other people on the side,0
@user and have social anxiety. There is many awkward things wrong with me. 😄,1
Just reached 10k followers - WOW - thanks blues #mcfc #ctid,1
@user does Remo Williams ever actually 'save' anyone or does he just sulk around killing random undesirables ?,0
@user story of my life. #lost,3
Sigh. I got a B- .. #depressing,3
@user &gt; huff louder,3
Reflection: the grind has been so REAL! Working 2 jobs &amp; being in school. #ksudsm #ksu #recruiter #instructor #tumble  #gradschool,2
I think they may be,2
Listening to old school house music kentphonic-sunday showers 'hanging around' 'sing it back' #blues,1
@user lost my xt nova around hole 8 or 9 #sadness,3
"@user  \nSo when exactly did you lose your mind, pal? \n#Trump #fraud #misogynist #liar #psychopath #narcissist #revolting #conartist",0
"Dear everyone at HSSU, stop walking with your phones up so I can smile and wave at you and you can smile and wave back :(",3
I should really study today for chemistry but playing madden is just way more fun.,1
@user  IT'S GAME DAY!!!!      T MINUS 14:30,1
Hope was an instinct only the reasoning human mind could kill. An animal never knew despair.,2
"@user BLM was outraged by the shooting in NC the other day, turns out the guy pointed gun at police. Wait for facts before outrage",0
bout to read this article 'Moving the Conversation Forward: Homosexuality &amp; Christianity' from someone in the foursquare church,0
It's a beautiful day today. Cloudy but sunny and breezy.,1
How on earth can the projection of all that is good and happy and true in my soul be a poisonous fucking snake? #patronus #adder #offended,0
Follow this amazing Australian author @user #fiction #horror #zombies #angels #demons #vampires #werewolves #follow #authorlove,1
Fewer and fewer good horror offerings from Hollywood every year. Or have I just gotten too old for this shit?,3
Just found out tonight my son will not be doing practical work counting towards his GCSE exam. OK then! I thought STEM was all the rage??,0
@user @user So much animosity towards Loki who is fighting the same battle as you. Surely not the best use of energy.,2
even walking around with my family members who carry guns makes me nervous and theyre my family....,0
Like he really just fucking asked me that.,0
@user @user imagine being this stupid for trying to chirp because of some racist prick.,0
Google caffeine-an sprightly lengthening into the corridor re seo: WgJ,1
second day on the job and i already got a 45 dollar tip from a dude whose was constantly twitching his eye LOLOLOL #cheering,1
@user I've left it for my dad to deal with 😂 My work is done as soon as it's felt the wrath of my slipper 😷,1
@user @user an 'Honorable Senator' cheering when a cease fire does not hold! PEOPLE DIE AND YOU CHEER! GENOCIDE SUPPORT NOT GOOD!,0
Twitter is a font of endless hilarity.,1
"@user hit the sink with a hammer... sorry, the universal modifier!",3
We Are Source!!\n\n #mindset #philosophy #thoughtsbecomethings #news #lifehacks  #you #LIFE #PleaseRT #ProblemSolving,2
How's it possible to go from cheery earlier to the worst mood possible now🙄,3
#FF @user @user Keep on #smiling … !,1
"I think what 2016 to really needs to round it out is a @user vs @user twitter debate. End on something joyful, ya know?.",1
#ThisIsUs has messed with my mind &amp; now I'm anticipating the next episode with #apprehension &amp; #delight! #isthereahelplineforthis,1
she's always so insensitive whenever i grieve idgi,3
@user I can't wait to hear what he had to say about the brilliant Dr. Hawking... it should be rich... In the poorest of taste! #bully,0
@user name change Uncle Remus Lewis #foh #theydontlikeyoueither #lost #unwoke,3
Think Val might be going this week. I'll have to take the rest of the week off work to mourn. I'm sure they'll understand. #GBBO,3
"Seeing #RIPShawtyLo got me thinking bout other rappers then I thought about @user dying, and burst into tears... Smh",3
@user let them know it's the #blues,3
&gt;.&lt; too much clutter in my brain with recent little changes that I haven't yet processed... #dying #panic #IveBeenBusierWhyAmIOverwhelmed :(,3
Baaarissshhhhh + sad song =  prefect night — feeling alone,3
"Knowing how to cook is invaluable, what's even better is that even in a 400 sq ft place, I have wide and hearty homestyle egg noodles.",1
"I truly feel like science has the ability to make a milk out of anything ... cashew milk, hemp milk, pine nut milk, dandelion milk",2
"Amateurs sit and wait for inspiration, the rest of us just get up and go to work.' -- Stephen King #authors #serious #writingtip",2
"Everywhere I go, the air I breathe in tastes like home.' - @user",2
"@user I remember being awestruck looking around thinking, 'You could fit the entire population of our town in here ten times over.'",2
"@user he's brilliant, lost the joyous plot with us that year. Admits being a fan now after that.",1
"@user just finally started #homefronttherevolution, what did you all do the story and gameplay??? #terrible #wasteofmoney",0
Southend players always haunt Man U,0
@user @user included for maximum #sadness,3
@user   Any possibly KG is being bought out as a player so that he can buy in from Glen as a minority owner?,1
"People want me to go pine ridge, little wound or Oelrichs. Starting to think about transferring but I wanna stay at cloud. Decisions man.",2
@user AWH tiff you're such a great friend I love you :(( thank you,1
"It's a good day at work when you get to shake Jim Lehrer's hand. Thanks, @user Still kicking myself for being to shy to hug @user",1
"When you wake up, scroll through social media, and another father was taken from his child  #everyday #KeithLamontScott",3
It's not #dread. It's called #Locks,2
@user cheer up,1
Nothings #Working-you're feeling your life's on The Edge_Could go either way #lost all reason for #Living-JesusChristHealsSavesASK #fatloss,3
"Blessed are those who mourn, for they will be comforted \n                                              Mt 5:4",2
Drop Snapchat names #bored  #swap #pics,3
@user Are you always so relentlessly positive? Your constantly cheerful optimistic disposition starts to grate after a while.,2
When you have 15 doe run the opposite side of you 🙁,3
@user \n'It's alright!' She said cheerfully trying to make the moment fun,1
"I need to think of a new Avatar for Fire Emblem Revelation as I might start playing it soon, any ideas for names? What gender do I choose",2
I have a job interview with @user in Loughborough next month !!!,1
@user Sweet!,1
Getting my comedic relief w/ @user during season premiere of #ModernFamily. Just what a girl needs! #hilarious,1
@user @user awe ain't he a sweetheart? He's adorable! 😊😍❤️,1
im having the worst week ever and i cant even go home yet to just sulk in my bed,3
"#Trump is #afraid of the big, bad #Hillary. #election #PresidentialDebate #PresidentialElection2016 #orangehitler #skip #hide #coward #fear",0
"But 'for me not to worry, they'll get a glass guy over and bill us for it'",2
@user droop saw naked wrestling and asked 'What if I get a hole in one?' #jaymohrsports,1
@user Uggh that's really horrible. You're not a bad person by any stretch of the imagination. I hope this person realizes that.,2
Listening to Joey really helps me and my anger.,2
Nothing worse than an uber driver that can't drive. #awful,0
I got so much fan's on here! Y'all and vixx keep me smiling ❤❤❤,1
Liam is too distant makes me mourn 😪,3
You are NOT your struggle or You are NOT your affliction! #YouAreStrong &amp; #YouAreArising above it all!,2
"Missing the 500th test match today , not able to witness it like watching it in India #shy #indvsnz #500thTest @user",3
"@user Sadly, not enough names.  The whole farewell tour situation would make me shy away from good value b et.",3
I have sleep cooties.\nI close my eyes and dream that I'm awake #weary #sleepissues #narcolepsy,3
You don't know how to love me when you're sober #sober #selenagomez #revival,3
"ok, ok.. I know.. my last tweet was",1
Think of #anger as this barrier between you and your truth.' @user,0
need to sta dating again.I m bored #redheadteen #boldandbeautiful #lost #500aday single men dating Schkeuditz,3
😫 ughh I just want all this to be over.. it's like a nightmare! can we all just get along?,0
ICQ is just making me mad!!!😤 #icq,0
"@user just curious as to what you mean. No rush, no animosity, no disdain.",3
Bet pawpaw is having a good time rejoicing up in heaven for his first birthday there!,1
My 2 teens sons just left in the car to get haircuts. I'm praying up a storm that they make it home safely!!  #TerenceCrutcher,2
Maybe the entire Russian team will test positive for meldonium and the North Americans will get to replace them #optimism,2
Tremor!!!\n,1
"Don't be #afraid of the space between your #dreams and #reality. If you can #dream it, you can #make it so",2
Follow me in instagram 1.0.7 #love #TagsForLikes #TFLers #tweegram #photooftheday #20likes #amazing #smile #follow4follow #like4like #look …,1
"Cuddling literally kills depression, relieves anxiety, and strengthens the immune system.",2
@user Think about it if he need white peoples votes wouldn't just reach out about things that only concern them &amp; leave out rest?,0
Urgent need to get a new job. The constant gloom of my current one is getting a bit ridiculous now.,3
@user I'm frowning at you intensely until you watch plastic memories.,0
".@monsoonuk Ordered before 10pm last night, paid for next day. Didn't bother to fufill order. Now 14 working days for a refund!",0
"Are you worrying/worried?\n1Peter 5:7\nThrow all your worry on him, because he cares for you.#faith #leadership #worry #mindfulness #success",2
Oi @user you've absolutely fucking killed me.. 30 mins later im still crying with laughter.. Grindah.. Grindah... 🤓  hahahahahahaha,1
@user dudes who wanna play some bass but not buy a bass (me) rejoice,1
Trust me to lose my wallet and have to call Lifeguard &amp; Swimmers social early as VC @user,0
"#GBBO is such a homely pure piece of tv gold. Channel 4 will attempt to tart it up. Mary, Sue and Mel gone. It's over. I'm out. 👋 #fuming",0
Still can't log into my fucking Snapchat #Snapchat,0
"Michelle, who did NOTHING is hating on Nicole's game hahaha.... #bitter #bb18",1
Close to the end of a revision...taking this story I love in a new direction has been exhilarating for me. #endlesspossibilities #amwriting,1
"bad news fam, life is still hard and awful #depression #anxiety #atleastIhaveBuffy",3
Worry makes you look at the problem and God makes you look at the promise. #problem #promise #worry #fear #faith #God #theanswer #spiritu...,2
God hears your voice optimism at the moment that you think that everything has failed you ✨.,2
@user This show SUCKS! #lame #awful you even used the same names?? lol SO SO bad! #Failed #notworth2minutes. Off air SOON,0
@user @user Quite the response of retaliation from Weiner in getting revenge on Huma &amp; Hillary 'clam digging'.\n#AllScumbags,0
Radio shake mutli directional mike it might sound cheap but the sound wasn't that bad and you could do some mixing.,2
I never let anything below me concern me.,2
@user bubble implies it will burst?,3
"@user ya know I love ya man, but #TheGreenInferno really fucked with my head....(giggle)..do it again. #epic  #ineedtherapy",1
"Absolutely raging at the changes to CAS, what a joke",0
"It’s possible changing meds is best not done while under stress. Difficult to tell what part of despair is circumstantial, what is drugs.",3
Gloriosa Bazigaga on #Rwanda work: 'I lost relatives in genocide but 15 yrs of peacebuilding has given me optimism it's within our power',2
"@user you may be right, but since year the bad events begin with B, I'm privately hoping we've got at least C-Z to go 1st",2
My 2 teens sons just left in the car to get haircuts. I'm praying up a storm that they make it home safely!! #sad #TerenceCrutcher,3
"@user I'm surrounded by those Trump voters. You're right, it is fucking terrifying. #redstate",0
"When's it all finished, you will discover that it was never random! #thoughts  #CrossoverLife",2
when season 13 of greys anatomy premieres today. it you're only on season 7 #sadness :(,3
@user @user awe I love you twooo!!! come adventure with me someday!,1
"@user door and cleared his throat, trying to dispel any nervousness he had left.",2
75' Tierney reaches a deep cross to the back post and plays it back across but the Alloa defence clear. Celtic relentless here.,3
Wrinkles should merely hide where frown have been.  - Mark Twain,2
"@user Same with gaming. Sites leaned PS2 during its heyday, leaned 360 most of last gen. This gen started vitriolic mostly by...",1
@user spent over 2 fucking hours and still can't get that dam SIVA fragment on Fellwinters peak mountain,0
"@user Just to help maintain and boost our status as a world class centre for education, culture and tolerance.",2
@user your a joke I pay for data when I'm in Spain and you then text and say I've used up all my data #terrible service,0
The fact that we have a presidential candidate that speaks the way Trump does is alarming. I thought higher of my peers. #FDT16,0
.@DIVAmagazine than straight people. Even the arse straight guys who think that means a threesome is fine. #angry #fuming,0
It hasn't sunk in that I'm meeting the twins,2
Panpiper playing Big River outside The Bridges in SR1,2
@user oh I see. I've seen so many people mourn the loss that I was surprised to see your tweet. I suppose same old here in SA,3
I love my black people..... I really really do. But .... my people really do irritate the living hell outta me all cause I'm different. 😑,0
"@user awe man, when are you free then? ☹️️☹️️☹️️💘💘💘",3
@user #Strongwomen terrify #weakmen - don't let the #bully wear you down. Loving your consistency and truth in rough times Hang in there ❤️,2
Loving @user @user talk #challenge #fear #map #inspiration #stayunstoppable,2
"be strong, independant and practical. stop living in your world of fantasy. snap out of it. the faster u get used to the reality, the better",2
@user thanks mucho kate💕 #sober,1
@user @user @user @user @user Have you read the OT and Pauline Epistles? They have countless horrid rules,3
@user @user happy birthday jin young!!!!!! #PrinceJinyoungDay #happyjinyoungday #got7  #birthday,1
@user @user @user @user @user Using fear to state his views. Not getting the facts before making a serious statement???,0
"We so elated, we celebrated like Obama waited until his last day in office to tell the nation, brothers is getting their reparations",1
Watch this amazing live.ly broadcast by @user  #musically,1
"I'll happily be rude to people who personally insult me unprovoked, they deserve it 👍 Just as good people deserve respect",0
the girl sitting in front of me is chewing her gum like a cow &amp; im ready to snap 🤗,0
Being alone is better than being lonely. Know what is worse than being lonely? Being empty; that's right!\n#Loneliness #aloneinthecity #fear,3
@user @user And the dreadful Franglaise.,0
Watch this amazing live.ly broadcast by @user  #musically,1
@user nick fury,0
"My wedding is in two weeks and I'm actually really nervous. I just want things to go right, I don't want to get sick or get canceled ;;",3
#BB18 Michelle crying  again #shocking #bitter He's  just not that into you 😢#TeamNicole,3
“We can easily #forgive a #child who is #afraid of the #dark; the real #tragedy of #life is when #men are #afraid of the #light.”–Plato,2
"Dehydrated, exhausted, stressed but still blessed. #optimism",2
i stopped watching gotham cause they dropped off tabitha and barb's relationship and made her pine after the main,3
When a grown adult doesn't drink or has never drank before I just assume they were raised around a raging alcoholic and they want no parts.,2
@user @user  I'm there... let me know,2
"My interview went well today, I can't wait to find out what happens. #nervous #excited #interview #jobinterview",2
"@user At least he's willing to discuss, better than most. That and keep the insults light with occasional levity or creative BS-ing,",2
@user Sorry I missed you :) I stayed up late working and pondering life,3
"Fear blocks blessings, faith unlocks them. #ManUp  #faith",2
Once I have sent a pitch to a brand I close all tabs relevant to them instantly. Thats the kind of detachment I create for myself. #serious,3
A concern of mine is that big name FA(like Malik) will tell other big potential FA's to steer clear of this franchise till Gus is gone.,3
penny dreadful just cleaved off a fraction of my heart,3
"Once you've accepted your flaws, no one can use them against you - @user #quote #mentalhealth #psychology #depression #anxiety",2
.@billradkeradio is not a fan of The Beat Happening. But that's not to discourage aspiring other Olympia musicians! #KUOWrecord,2
in geometry today hannah started crying of laughter because ms. canning said 'pp' lol,1
"@user - frustration, looking up at Elphaba in a frown of aggravation. Her high pitched voice was growing more and more --",0
"“It is not #death, that most people are #afraid of. It is getting to the end of #life only to realize that you never truly #lived.”",2
David Gilmour's biggest compliment? B.B. King asked him after a gig if he was born in Mississippi #pinkfloyd #theblues #davidgilmour #blues,1
People stealing things from my work out quite the damper on my day so now I am going to wear pajamas all day,3
"Like keep grinding boy your life can change in one year, and even when it's dark out the sun is shining somewhere...'",2
Recording some more #FNAF and had to FaceTime my mum to let her know I was okay after I let out a high pitched scream 😂  #suchagirl,1
@user Appreciate ur 'half truth.' Don't let ur good judgement swayed in the realm of propaganda. State doesn't sponsor terrorism.,0
I love when people say they aren't racist right before they say some racist shit... Not how that works...,0
These NA kids are relentless,0
@user fix this home/away deptch chart invalid glitch. I have to close madden and re-open it everytime this happens,0
"“He who is slow to anger is better than the mighty, And he who rules his spirit than he who takes a city.”\nP16:32 #bibleverse #pride",2
"@user I am angry at the student for being a racist, and the teacher for not stopping it, and at the class for letting it go by.",0
I believe women are more fiery because once a month they go through struggle and struggle is what develops a strong character.,2
@user add tracking but resent them,0
It's sad when your man leaves work a little bit late and your worst fear is 'Oh no!! Did he get stopped by the police?!?! '  #ourworld,3
"@user Annoys me to about the Ortiz tribute too, how would the Oriole fans and organization feel if Yanks did that to them?",0
I've realized my anxiety is at an all time high when I'm in my office. I feel prisoned here and I pick up on bad energy.,3
"@user @user yeah, they figured that ornaments are way more wanted than spektar and desolate gear. Well they thought right.",2
When you're scared to press send #bgoodthepoet #PrayForMe #ThisIsAGodDream #career #help  #heart #HeartRacing,2
@user @user @user and there was I thinking #UKIP were a party of angry old men - how wrong can you be!,0
"She began to squirm beneath @user struggling to get out of his relentless grasp. When she realized that the attempt was useless,++",3
Hillary Clinton looked the other way to the Saudi war on women and their terror financing because they bought her off.,0
Machine keeps beeping* \nNurse: Don't worry. You're all good. Vitals are normal for your size. \n*Walks back out* \nMatt: so you're dying....😑😂,2
"The T.I / Shawty Lo beef is one of the more underrated ones in hip-hop history. Chock-full of wit, bravado and hilarity.",1
"me, myself, and I \n #horror movie alone again tonight maybe a #zombie would eat me and finish my life game already - i want #gameover",3
@user the forth character? No... not gleeful enough...,3
#ukedchat A4 Just go outside (or to the gym hall) and play! \n #education  #learning,1
I told my therapist that I'm on the dance team and now she's unhappy with me.,3
Knowing I have my hair to wash and dry is like knowing you had that English close reading in your school bag to do,3
@user #mhchat Childhood experiences inform adult relationships. We have associative memories Not a question of ability to process,3
I would just give her with their naked body.,2
@user fuming ain't the word,0
"@user you're looking for an argument that i'm not engaging in. He's not even speaking his own words, i'm not raging at him.",0
It's Thursday which means it's Grey's day #TGIT,1
@user Miss Cookie sends her thanks! She's not as spry as she used to be - like me! She doesn't have the adventures the young pups do!,1
#Malaysian police arrest 4 people for suspected links to #terrorism including three #foreigners\n\n#Malaysia,3
